2020-12-08 16:05:11,133 DEBUG  ROS Time: 1607414711 | tasks num: 0                 active robots: 0
2020-12-08 16:05:13,137 DEBUG  ROS Time: 1607414713 | tasks num: 0                 active robots: 0
2020-12-08 16:05:15,139 DEBUG  ROS Time: 1607414715 | tasks num: 0                 active robots: 0
2020-12-08 16:05:17,143 DEBUG  ROS Time: 1607414717 | tasks num: 0                 active robots: 0
2020-12-08 16:05:19,148 DEBUG  ROS Time: 1607414719 | tasks num: 0                 active robots: 0
2020-12-08 16:05:21,553 DEBUG  ROS Time: 1607414721 | tasks num: 0                 active robots: 0
2020-12-08 16:05:21,969 DEBUG  ROS Time: 1607414721 |         Robot Status: []
2020-12-08 16:05:23,559 DEBUG  ROS Time: 1607414723 | tasks num: 0                 active robots: 0
2020-12-08 16:05:23,993 DEBUG  ROS Time: 1607414723 |         Robot Status: []
2020-12-08 16:05:24,984 DEBUG  ROS Time: 1607414724 |         Task Status: []
2020-12-08 16:05:25,565 DEBUG  ROS Time: 1607414725 | tasks num: 0                 active robots: 0
2020-12-08 16:05:26,018 DEBUG  ROS Time: 1607414726 |         Robot Status: []
2020-12-08 16:05:27,570 DEBUG  ROS Time: 1607414727 | tasks num: 0                 active robots: 0
2020-12-08 16:05:28,785 DEBUG  ROS Time: 1607414728 |         Robot Status: []
2020-12-08 16:05:29,575 DEBUG  ROS Time: 1607414729 | tasks num: 0                 active robots: 0
2020-12-08 16:05:30,805 DEBUG  ROS Time: 1607414730 |         Robot Status: []
2020-12-08 16:05:31,581 DEBUG  ROS Time: 1607414731 | tasks num: 0                 active robots: 0
2020-12-08 16:05:31,794 DEBUG  ROS Time: 1607414731 |         Task Status: []
2020-12-08 16:05:32,831 DEBUG  ROS Time: 1607414732 |         Robot Status: []
2020-12-08 16:05:33,587 DEBUG  ROS Time: 1607414733 | tasks num: 0                 active robots: 0
2020-12-08 16:05:34,842 DEBUG  ROS Time: 1607414734 |         Robot Status: []
2020-12-08 16:05:35,592 DEBUG  ROS Time: 1607414735 | tasks num: 0                 active robots: 0
2020-12-08 16:05:36,825 DEBUG  ROS Time: 1607414736 |         Task Status: []
2020-12-08 16:05:36,862 DEBUG  ROS Time: 1607414736 |         Robot Status: []
2020-12-08 16:05:37,596 DEBUG  ROS Time: 1607414737 | tasks num: 0                 active robots: 0
2020-12-08 16:05:38,884 DEBUG  ROS Time: 1607414738 |         Robot Status: []
